race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
8,2014,Spielberg,19,ERI,Caterham,18,20,77.11871014492752,76.407,3.9495738567651357,74.672,2,24.177500000000002,2,23.333333333333332,71,4318.0
8,2014,Spielberg,20,GUT,Sauber,19,17,77.1229420289855,75.55,7.201470203008914,74.036,3,35.60633333333333,2,23.333333333333332,71,4318.0
8,2014,Spielberg,21,MAL,LotusF1,12,13,75.54875714285714,74.6775,3.427419189781792,73.187,2,22.9775,2,23.666666666666668,71,4318.0
8,2014,Spielberg,22,GRO,LotusF1,14,22,76.42211428571429,75.6435,3.54303998898701,73.953,2,23.048000000000002,2,23.666666666666668,71,4318.0
9,2014,Silverstone,1,HAM,Mercedes,1,6,169.4633461538462,98.789,499.0333625280325,97.176,2,29.485,2,17.666666666666668,52,5891.0
9,2014,Silverstone,2,RIC,RedBull,3,8,170.3574807692308,99.6245,498.00607564470414,98.459,1,28.483,2,17.666666666666668,52,5891.0
9,2014,Silverstone,3,ROS,Mercedes,18,1,229.45671428571427,98.961,680.2561461163733,98.091,1,28.329,1,14.5,52,5891.0
9,2014,Silverstone,4,MAG,McLaren,7,5,170.6664807692308,100.787,499.080488212759,98.677,1,28.745,2,26.5,52,5891.0
9,2014,Silverstone,5,ALO,Ferrari,6,16,170.61615384615385,100.187,496.26233628139266,98.587,1,34.41,2,26.5,52,5891.0
9,2014,Silverstone,6,VER,ToroRosso,10,10,172.8471176470588,101.238,499.2461836714487,99.261,1,30.218,2,17.333333333333332,52,5891.0
9,2014,Silverstone,7,HUL,ForceIndia,8,4,171.1689615384615,101.4305,498.1572953755871,98.625,1,29.579,2,26.5,52,5891.0
9,2014,Silverstone,8,KVY,ToroRosso,9,9,171.1814230769231,100.5615,497.6957492313499,98.407,2,28.6375,2,17.666666666666668,52,5891.0
9,2014,Silverstone,9,MAS,Williams,21,15,,,,,0,0.0,1,1.0,52,5891.0
9,2014,Silverstone,10,BUT,McLaren,4,3,170.37469230769233,100.67349999999999,499.18744542814767,98.284,1,28.645,2,26.5,52,5891.0
